COREDEP,REPDTE,CHBAL,ASSET,RBC1AAJ,CERT,NETINC,EQ,LNLSNET,DEP,ID,deposits,loans,cash,assets,core_dep,T1R,LTD,CBD,BDR,LTD_baseline,LTD_delta,T1R_baseline,T1R_delta,CBD_baseline,CBD_delta,BDR_baseline,BDR_delta,RISK_SCORE,SEVERITY,INSTNAME,CITY,STALP
6289,19840331,58,8209,0.0,31559,41,932,7098,7254,31559_19840331,7254,7098,58,8209,6289,0.0,0.978494623655914,2.9183898538737245,0.1330300523848911,,,,,,,,,41.2,medium,Dwelling House Savings and Loan,Pittsburgh,PA
6668,19840630,62,8406,0.0,31559,65,956,7350,7412,31559_19840630,7412,7350,62,8406,6668,0.0,0.9916351861845656,3.053157042633567,0.10037776578521317,,,,,,,,,40.7,medium,Dwelling House Savings and Loan,Pittsburgh,PA
6762,19840930,54,8574,0.0,31559,126,1017,7525,7509,31559_19840930,7509,7525,54,8574,6762,0.0,1.0021307764016514,2.624850179784259,0.09948062325209749,0.9850649049202398,0.017065871481411587,0.0,0.0,2.9857734482536458,-0.3609232684693868,0.11670390908505213,-0.01722328583295464,40.7,medium,Dwelling House Savings and Loan,Pittsburgh,PA
6527,19841231,117,9012,0.0,31559,130,1021,7545,7899,31559_19841231,7899,7545,117,9012,6527,0.0,0.9551842005317128,5.406380554500569,0.1736928725155083,0.9907535287473769,-0.03556932821566405,0.0,0.0,2.8654656920971835,2.540914862403386,0.11096281380740058,0.06273005870810772,41.8,medium,Dwelling House Savings and Loan,Pittsburgh,PA
6548,19850331,46,9754,0.0,31559,60,1081,7797,8554,31559_19850331,8554,7797,46,9754,6548,0.0,0.9115033902267945,1.9628244096329204,0.23451017068038343,0.981861196693461,-0.07035780646666645,0.0,0.0,3.50069440769803,-1.5378699980651098,0.1266453284844275,0.10786484219595593,42.6,medium,Dwelling House Savings and Loan,Pittsburgh,PA
6864,19850630,42,9555,0.0,31559,94,1115,7878,8386,31559_19850630,8386,7878,42,9555,6864,0.0,0.9394228476031481,1.8280467445742905,0.18149296446458382,0.9651133883361811,-0.025690540733033007,0.0,0.0,3.2618030466378287,-1.4337563020635382,0.1520153580583006,0.02947760640628322,41.9,medium,Dwelling House Savings and Loan,Pittsburgh,PA
6972,19850930,56,9817,0.0,31559,141,1162,8030,8601,31559_19850930,8601,8030,56,9817,6972,0.0,0.933612370654575,2.376467852575282,0.1893965817928148,0.9520603036908267,-0.018447933036251696,0.0,0.0,2.9555254721230098,-0.5790576195477279,0.17229415772814327,0.017102424064671523,42.0,medium,Dwelling House Savings and Loan,Pittsburgh,PA
7091,19851231,60,10013,0.0,31559,133,1154,7943,8744,31559_19851231,8744,7943,60,10013,7091,0.0,0.9083943275388838,2.5045745654162856,0.18904391582799634,0.9349307022540576,-0.026536374715173783,0.0,0.0,2.893429890320766,-0.38885532490448016,0.19477314736332257,-0.005729231535326229,42.0,medium,Dwelling House Savings and Loan,Pittsburgh,PA
7132,19860331,45,10165,0.0,31559,67,1221,8018,8919,31559_19860331,8919,8018,45,10165,7132,0.0,0.8989797062450947,1.841574167507568,0.20035878461710954,0.9232332340058503,-0.024253527760755622,0.0,0.0,2.1679783930496948,-0.32640422554212667,0.1986109081914446,0.0017478764256649293,42.1,medium,Dwelling House Savings and Loan,Pittsburgh,PA
7432,19860630,38,10497,0.0,31559,96,1250,8073,9233,31559_19860630,9233,8073,38,10497,7432,0.0,0.8743636954402686,1.5022202967616158,0.19506119354489332,0.9201023130104253,-0.04573861757015674,0.0,0.0,2.1376658325183566,-0.6354455357567408,0.19007306167562613,0.004988131869267193,40.0,medium,Dwelling House Savings and Loan,Pittsburgh,PA
