COREDEP,REPDTE,ASSET,RBC1AAJ,INTINC,NETINC,EQ,LNLSDEPR,LNLSNTV,DEP,RBCRWAJ,CHBAL,CERT,NONII,LNLSNET,ID,deposits,loans,cash,tier1,assets,core_dep,net_income,equity,mortgages,T1R,LTD,CBD,BDR,LTD_baseline,LTD_delta,T1R_baseline,T1R_delta,CBD_baseline,CBD_delta,BDR_baseline,BDR_delta,INSTNAME,CITY,STALP,LTD_TREND,T1R_TREND,CBD_TREND,DAYS_TO_LTD_THRESHOLD,DAYS_TO_T1R_THRESHOLD,DAYS_TO_CBD_THRESHOLD,RISK_SCORE,SEVERITY
54682,20091231,79731,12.717863229787394,2913,443,10842,35.47280017159734,26.96,60607,33.32288597755908,8919,35314,130,21499,35314_20091231,60607,21499,8919,12.717863229787394,79731,54682,443,10842,0,0.12717863229787393,0.3547280017159734,53.7138449354035,0.09776098470473708,0.3405161749452923,0.014211826770681113,0.11167964858610244,0.015498983711771497,25.019425475885612,28.69441945951789,0.13132376459646597,-0.033562779891728886,BHM BANK,BIRMINGHAM,AL,falling,rising,rising,0.0,0.0,0.0,26.0,low
48076,20130331,52866,6.094520368183267,352,-55,3265,43.07247782425088,40.32,49491,15.03705272072835,22354,10843,29,21317,10843_20130331,49491,21317,22354,6.094520368183267,52866,48076,-55,3265,0,0.06094520368183267,0.43072477824250877,164.86250025257118,0.028591056959851285,0.5875739008645815,-0.15684912262207273,0.07413398683263121,-0.013188783150798543,98.92307882150592,65.93942143106526,0.05206255119818696,-0.023471494238335673,CITIZENS BANK OF CHATSWORTH,CHATSWORTH,IL,falling,falling,rising,0.0,39.0,0.0,17.1,low
284081,20251231,426981,21.17584589515915,14505,-7441,72219,60.98169192965934,43.07,301561,36.54125281747703,171974,59324,328,183897,59324_20251231,301561,183897,171974,21.17584589515915,426981,284081,-7441,72219,0,0.21175845895159148,0.6098169192965934,208.15194935684653,0.05796505516296869,0.4507261687440639,0.15909075055252953,0.30902158942603275,-0.09726313047444127,254.3933679704768,-46.24141861363026,0.08727565331140326,-0.02931059814843457,NAVE BANK,SAN JUAN,PR,rising,falling,falling,287.0,344.0,499.0,75.0,critical
91965,20251231,194018,10.578392727857777,9492,3953,19027,50.19918717854519,45.07,174208,0.0,31194,58282,689,87451,58282_20251231,174208,87451,31194,10.578392727857777,194018,91965,3953,19027,0,0.10578392727857777,0.5019918717854519,65.3575610764144,0.4720965742101396,0.5862837383380157,-0.08429186655256382,0.1087558805976487,-0.002971953319070922,31.530324020285114,33.827237056129285,0.41995466482894905,0.052141909381190565,EAGLE BANK,POLSON,MT,falling,falling,rising,0.0,3577.0,0.0,25.8,low
489572,20251231,644831,11.134174259311704,40562,7664,78308,69.71660308060245,60.76,561968,0.0,140850,14331,6598,391785,14331_20251231,561968,391785,140850,11.134174259311704,644831,489572,7664,78308,0,0.11134174259311705,0.6971660308060246,91.48252213649175,0.12882584061725935,0.7111638032351427,-0.01399777242911815,0.10971776485933404,0.0016239777337830053,95.95385691645605,-4.471334779964295,0.11797242929665805,0.010853411320601303,FIRSTBANK,ANTLERS,OK,falling,rising,falling,0.0,0.0,2579.0,30.2,medium
62002,20251231,104464,10.3761509953005,6392,-3548,10864,85.37030943276334,72.02,88129,0.0,20696,59204,292,75236,59204_20251231,88129,75236,20696,10.3761509953005,104464,62002,-3548,10864,0,0.10376150995300501,0.8537030943276334,85.71571219462379,0.296463139261764,0.9743570069429761,-0.12065391261534275,0.1444064587295468,-0.04064494877654179,78.80077021080736,6.914941983816433,0.24720876447787274,0.04925437478389125,LEGACY BANK,MURRIETA,CA,falling,falling,rising,0.0,274.0,0.0,46.8,medium
209713,20251231,320479,12.144181972745304,17566,2012,37714,82.80679776608393,68.89,266617,19.87349017131128,90139,31823,918,220777,31823_20251231,266617,220777,90139,12.144181972745304,320479,209713,2012,37714,0,0.12144181972745305,0.8280679776608393,123.40073963775752,0.21342975129117797,0.9312219204183123,-0.10315394275747303,0.1347429612087417,-0.013301141481288664,83.15064687173273,40.25009276602479,0.19370544090825698,0.019724310382920995,"INTERAMERICAN BANK, A FSB",MIAMI,FL,falling,falling,rising,0.0,1000.0,0.0,53.4,medium
154953,20251231,272576,13.366804250267386,17453,1388,36167,107.90559401107716,80.7,203843,0.0,16195,58263,503,219958,58263_20251231,203843,219958,16195,13.366804250267386,272576,154953,1388,36167,0,0.13366804250267386,1.0790559401107715,28.998665639732536,0.23984144660351348,1.0853948087060976,-0.006338868595326064,0.1345581417684927,-0.0008900992658188445,36.98353911338816,-7.984873473655625,0.20528401900774046,0.034557427595773016,GLOBAL BANK,NEW YORK,NY,rising,falling,falling,0.0,5423.0,954.0,72.2,high
552094,20251231,773428,15.102103632537933,35548,-577,107640,66.1181729153157,51.68,604504,26.801432401362447,29023,14679,5068,399687,14679_20251231,604504,399687,29023,15.102103632537933,773428,552094,-577,107640,0,0.15102103632537933,0.661181729153157,17.52411067585988,0.0866991781692098,0.6287203478758113,0.03246138127734566,0.15475285928403437,-0.00373182295865504,25.73751502922358,-8.2134043533637,0.0865328007288409,0.00016637744036890334,INDUSTRIAL BANK,WASHINGTON,DC,rising,stable,falling,2007.0,16816.0,286.0,31.1,medium
820582,20251231,2006088,12.549884613265174,102493,9987,269490,125.64991920324506,75.97,1212920,14.625048673844704,137891,15118,66646,1524033,15118_20251231,1212920,1524033,137891,12.549884613265174,2006088,820582,9987,269490,0,0.12549884613265175,1.2564991920324506,41.49508211588563,0.32346568611285165,1.2404120130320826,0.016087179000368046,0.13022932663870312,-0.004730480506051377,41.70306064449412,-0.20797852860849275,0.2846907115364947,0.038774974576356924,GATEWAY FIRST BANK,JENKS,OK,rising,falling,rising,0.0,2224.0,0.0,67.1,high
