COREDEP,REPDTE,ASSET,RBC1AAJ,INTINC,NETINC,EQ,LNLSDEPR,LNLSNTV,DEP,RBCRWAJ,CHBAL,CERT,NONII,LNLSNET,ID
28939,20251231,37401,14.149120130200387,1903,58,3800,51.01590512089731,44.51,32631,25.77460443386663,4731,10843,89,16647,10843_20251231
344920,20251231,479538,14.825525977423634,25400,3550,68186,67.70584913152099,57.25,405479,25.88809737226966,16207,12266,3060,274533,12266_20251231
276552,20251231,456680,6.219901250021731,21158,-1392,25436,66.17720929458925,43.56,300605,11.011810561579578,24627,16249,7055,198932,16249_20251231
68771,20251231,118106,14.953023347268173,6034,1051,17714,45.46371686826793,37.77,98131,0.0,24159,16584,573,44614,16584_20251231
384706,20251231,696917,10.391235827411846,30581,5832,64135,78.00504306128465,59.61,532613,0.0,24183,20179,40986,415465,20179_20251231
454985,20251231,561380,10.902790311518608,21205,4146,51685,46.08317770001148,40.75,496359,0.0,32046,20568,3355,228738,20568_20251231
45367,20251231,66167,15.594245665805975,2848,87,9231,45.49793919751999,39.04,56774,34.83620881390398,10765,22229,677,25831,22229_20251231
5017252,20251231,7436315,9.683869062206368,397127,65502,697385,93.95220644509526,79.24,6271808,12.707429275032403,201625,24156,32717,5892502,24156_20251231
1225893,20251231,1580518,8.70157297985098,75804,18148,124633,85.65785141335948,77.36,1427450,11.830130253795735,269779,24823,6302,1222723,24823_20251231
50991,20251231,100548,12.071046228710463,4576,111,11403,105.88182911082417,70.95,67377,23.40715193320022,13797,28217,677,71340,28217_20251231
50958,20251231,63692,15.074531549352812,3100,284,9436,49.6627427789995,42.19,54113,0.0,8017,29399,271,26874,29399_20251231
209713,20251231,320479,12.144181972745304,17566,2012,37714,82.80679776608393,68.89,266617,19.873490171311282,90139,31823,918,220777,31823_20251231
653401,20251231,965048,12.235372035560536,55067,12567,111787,86.17331230403083,75.64,847072,20.713703674303847,84199,33708,5628,729950,33708_20251231
50514,20251231,120324,12.305329525246538,6717,1039,15734,104.69113269452231,80.09,92046,17.125477928397636,20614,34334,180,96364,34334_20251231
377625,20251231,568962,11.018578518987972,30711,3131,71029,68.32174139707313,58.05,483382,14.015329333139867,68824,34643,3081,330255,34643_20251231
285941,20251231,777905,12.40985388490562,40871,7952,96062,66.28741495339557,57.55,675365,19.261752940710522,114519,35241,1519,447682,35241_20251231
11548,20251231,18546,14.656283566058,965,-393,2766,65.61686795222526,53.02,14987,23.708031599736668,3528,35314,987,9834,35314_20251231
1936881,20251231,2788916,9.650579014263522,145487,29707,248230,91.6879986677475,77.58,2359913,13.66560174863069,38477,57369,14740,2163757,57369_20251231
3032800,20251231,5477082,11.300712991015681,276629,57159,587670,83.74350851048236,70.1,4584464,0.0,281647,57815,25370,3839191,57815_20251231
411094,20251231,570745,8.329159818575551,28481,5056,46965,91.84113158351782,73.19,454867,0.0,82982,57931,2673,417755,57931_20251231
2153700,20251231,4713542,9.844507779829428,220827,68908,489417,109.87741984316317,85.62,3672862,16.77957628088926,363906,58181,25102,4035646,58181_20251231
507443,20251231,810984,9.793774462508088,48809,4299,79080,96.63929966119427,79.28,665278,13.418196401898525,132525,58348,8258,642920,58348_20251231
189430,20251231,368568,8.672711702727312,21969,2519,32093,103.55742120172557,84.61,301117,11.690892014959026,9832,58377,510,311829,58377_20251231
140265,20251231,218199,11.525835033489406,14253,3211,23535,91.3819964281643,77.15,184219,14.70805701872539,14212,58413,2101,168343,58413_20251231
559589,20251231,772771,14.232995318302862,37232,3999,103451,78.54440529780001,65.66,646004,0.0,27939,58584,1051,507400,58584_20251231
541454,20251231,837006,9.886664628873937,48432,12024,67796,79.89953926903335,72.33,757709,16.741259684910094,160792,58657,7025,605406,58657_20251231
231761,20251231,418375,12.599734200911719,23749,2286,52366,89.4679111046933,77.01,360109,47.086899275839365,65649,58687,1029,322182,58687_20251231
125820,20251231,243045,10.472508919876333,12806,932,25167,85.42664409148324,65.39,186045,16.798495316863722,55593,59182,2246,158932,59182_20251231
57340,20251231,106369,19.61679976585692,5730,-1052,18805,100.08814762407359,81.13,86219,0.0,954,59292,109,86295,59292_20251231
671934,20251231,795547,13.681869596058357,39446,14039,101797,55.07743930136123,47.25,682470,25.16500390621492,66304,8033,5207,375887,8033_20251231
28682,20250930,36946,14.050723161540029,1439,29,3056,46.00790513833992,40.96,32890,28.30114694637781,6379,10843,70,15132,10843_20250930
359492,20250930,490954,14.602748696325754,19097,3118,67502,64.8271505685081,55.19,417936,25.984912270023703,40016,12266,2493,270936,12266_20250930
279158,20250930,466161,6.103279468280794,16078,-990,24695,64.00142681362411,41.95,305576,11.079501334199268,30968,16249,5344,195573,16249_20250930
57451,20250930,113168,16.01232274724777,4474,1232,17882,48.4439922895695,39.97,93380,0.0,18316,16584,555,45237,16584_20250930
392758,20250930,699585,10.390479003481905,22822,4497,62167,73.36603278490749,55.63,530488,0.0,41345,20179,31274,389198,20179_20250930
427990,20250930,539733,11.385855360079077,15605,3037,51088,46.25072895909793,41.58,485281,0.0,19599,20568,2508,224446,20568_20250930
45999,20250930,66582,15.62514106866094,2074,-98,9095,43.591577551768054,37.53,57323,35.40632091294768,8317,22229,338,24988,22229_20250930
5238604,20250930,7395959,9.622632044890993,294835,47823,693539,91.74043013079243,78.08,6294783,12.589567888849556,235459,24156,23273,5774861,24156_20250930
1101648,20250930,1411223,8.681467854626543,55855,13563,119652,92.10101224246988,82.5,1264124,12.002825636879004,166254,24823,4804,1164271,24823_20250930
49690,20250930,101744,12.829472322760319,3416,12,11229,109.08258081402957,73.73,68769,21.42199454238026,11590,28217,399,75015,28217_20250930
50373,20250930,62900,14.710889618027611,2310,110,9416,52.10926499577584,44.13,53265,0.0,10715,29399,138,27756,29399_20250930
205405,20250930,303205,12.957363636051634,13033,1613,37754,85.16332167899708,72.7,258845,20.15550807811429,73918,31823,616,220441,31823_20250930
