INSTNAME,CITY,STALP,EST_DATE,CERT,CLASS,REGULATOR,MINORITY_ALPHA,MINORITY_NUM,FDIC_REGION,ASSET,FHLB_MEMBER,CDFI_CERT
BHM BANK,BIRMINGHAM,AL,01/28/2000,35314,NM,FDIC,B,1,ATLANTA,18546.0,0,0
COMMONWEALTH NATIONAL BANK,MOBILE,AL,02/19/1976,22229,N,OCC,B,1,ATLANTA,66167.0,0,0
U. S. CENTURY BANK,DORAL,FL,10/28/2002,57369,NM,FDIC,H,2,ATLANTA,2788916.0,0,0
BANESCO USA,MIAMI,FL,01/10/2006,57815,NM,FDIC,H,7,ATLANTA,5477082.0,0,0
"INTERAMERICAN BANK, A FSB",MIAMI,FL,08/23/1976,31823,SB,OCC,H,2,ATLANTA,320479.0,0,0
INTERNATIONAL FINANCE BANK,MIAMI,FL,11/30/1983,24823,NM,FDIC,H,7,ATLANTA,1580518.0,0,0
OCEAN BANK,MIAMI,FL,12/09/1982,24156,NM,FDIC,H,2,ATLANTA,7436315.0,0,0
SUNSTATE BANK,MIAMI,FL,03/15/1999,34643,NM,FDIC,H,7,ATLANTA,568962.0,0,0
ANCHOR BANK,PALM BEACH GARDENS,FL,03/22/2005,57931,SM,FED,H,7,ATLANTA,570745.0,0,0
CENTRAL BANK,TAMPA,FL,02/26/2007,58377,NM,FDIC,A,3,ATLANTA,368568.0,0,0
TOUCHMARK NATIONAL BANK,ALPHARETTA,GA,01/28/2008,58687,N,OCC,A,3,ATLANTA,418375.0,0,0
CITIZENS TRUST BANK,ATLANTA,GA,06/18/1921,8033,SM,FED,B,1,ATLANTA,795547.0,0,0
METRO CITY BANK,DORAVILLE,GA,04/04/2006,58181,NM,FDIC,A,3,ATLANTA,4713542.0,0,0
PROMISEONE BANK,DULUTH,GA,11/06/2008,58657,NM,FDIC,A,3,ATLANTA,837006.0,0,0
LOYAL TRUST BANK,JOHNS CREEK,GA,11/18/2019,59182,NM,FDIC,A,8,ATLANTA,243045.0,0,0
EMBASSY NATIONAL BANK,LAWRENCEVILLE,GA,03/05/2007,58413,N,OCC,A,3,ATLANTA,218199.0,0,0
AMERICAN PRIDE BANK,MACON,GA,12/12/2007,58584,NM,FDIC,M,5,ATLANTA,772771.0,0,0
CARVER STATE BANK,SAVANNAH,GA,01/01/1927,16584,NM,FDIC,B,1,ATLANTA,118106.0,0,0
MECHANICS & FARMERS BANK,DURHAM,NC,03/01/1908,12266,NM,FDIC,B,1,ATLANTA,479538.0,0,0
LUMBEE GUARANTY BANK,PEMBROKE,NC,12/22/1971,20568,NM,FDIC,N,4,ATLANTA,561380.0,0,0
OPTUS BANK,COLUMBIA,SC,03/26/1999,35241,NM,FDIC,B,1,ATLANTA,777905.0,0,0
CITIZENS BANK OF CHATSWORTH,CHATSWORTH,IL,12/07/1903,10843,NM,FDIC,A,3,CHICAGO,37401.0,0,0
AMERICAN METRO BANK,CHICAGO,IL,01/29/1997,34334,NM,FDIC,A,3,CHICAGO,120324.0,0,0
DEVON BANK,CHICAGO,IL,09/15/1945,16249,NM,FDIC,M,10,CHICAGO,456680.0,0,0
GN BANK,CHICAGO,IL,01/01/1934,29399,SB,OCC,B,1,CHICAGO,63692.0,0,0
INTERNATIONAL BANK OF CHICAGO,CHICAGO,IL,10/26/1992,33708,NM,FDIC,A,3,CHICAGO,965048.0,0,0
MILLENNIUM BANK,DES PLAINES,IL,07/02/2007,58348,NM,FDIC,A,3,CHICAGO,810984.0,0,0
FIRST INDEPENDENCE BANK,DETROIT,MI,05/14/1970,20179,NM,FDIC,B,1,CHICAGO,696917.0,0,0
WARSAW FEDERAL SAVINGS AND LOAN ASSOCIATION,CINCINNATI,OH,01/01/1893,28217,SB,OCC,B,6,CHICAGO,100548.0,0,0
ADELPHI BANK,COLUMBUS,OH,01/18/2023,59292,NM,FDIC,B,6,CHICAGO,106369.0,0,0
BAY BANK,GREEN BAY,WI,08/21/1995,34052,NM,FDIC,N,4,CHICAGO,309682.0,0,0
COLUMBIA SAVINGS AND LOAN ASSOCIATION,MILWAUKEE,WI,01/01/1924,28480,SL,FDIC,B,6,CHICAGO,21998.0,0,0
"NATIVE AMERICAN BANK, NATIONAL ASSOCIATION",DENVER,CO,07/27/1987,27026,N,OCC,N,4,DALLAS,392959.0,0,0
LIBERTY BANK AND TRUST COMPANY,NEW ORLEANS,LA,11/16/1972,20856,NM,FDIC,B,1,DALLAS,1105310.0,0,0
"GRAND BANK FOR SAVINGS, FSB",HATTIESBURG,MS,01/01/1968,31864,SB,OCC,B,1,DALLAS,277467.0,0,0
COMMUNITY 1ST BANK LAS VEGAS,LAS VEGAS,NM,11/23/1949,16854,NM,FDIC,H,2,DALLAS,292100.0,0,0
CENTINEL BANK OF TAOS,TAOS,NM,03/01/1969,19904,NM,FDIC,H,2,DALLAS,413219.0,0,0
FIRSTBANK,ANTLERS,OK,01/01/1901,14331,SM,FED,N,4,DALLAS,644831.0,0,0
ALLNATIONS BANK,CALUMET,OK,01/01/1901,4051,SM,FED,N,4,DALLAS,77144.0,0,0
F&M BANK,EDMOND,OK,01/01/1902,12761,NM,FDIC,N,4,DALLAS,809540.0,0,0
BANK OF GRAND LAKE,GROVE,OK,06/09/2005,57915,NM,FDIC,H,2,DALLAS,235548.0,0,0
THE HOPETON STATE BANK,HOPETON,OK,01/01/1919,12585,NM,FDIC,M,5,DALLAS,31601.0,0,0
LOCAL BANK,HULBERT,OK,12/01/1908,2327,SM,FED,N,4,DALLAS,429030.0,0,0
GATEWAY FIRST BANK,JENKS,OK,03/02/1935,15118,NM,FDIC,N,4,DALLAS,2006088.0,0,0
CHICKASAW COMMUNITY BANK,OKLAHOMA CITY,OK,01/01/1903,11521,SM,FED,N,4,DALLAS,435936.0,0,0
FIRST SECURITY BANK AND TRUST COMPANY,OKLAHOMA CITY,OK,04/06/1951,17001,NM,FDIC,B,1,DALLAS,255112.0,0,0
THE PAULS VALLEY NATIONAL BANK,PAULS VALLEY,OK,01/01/1905,4173,N,OCC,N,4,DALLAS,348568.0,0,0
SOVEREIGN BANK,SHAWNEE,OK,10/29/1984,25738,SM,FED,N,4,DALLAS,1360197.0,0,0
CARSON COMMUNITY BANK,STILWELL,OK,02/03/1903,2320,NM,FDIC,N,4,DALLAS,164883.0,0,0
SECURITY STATE BANK OF OKLAHOMA,WEWOKA,OK,12/05/1911,8980,NM,FDIC,N,4,DALLAS,394838.0,0,0
CITIZENS SAVINGS BANK AND TRUST COMPANY,NASHVILLE,TN,01/04/1904,10319,NM,FDIC,B,1,DALLAS,183374.0,0,0
THE FIRST STATE BANK,ABERNATHY,TX,01/01/1909,11175,NM,FDIC,N,4,DALLAS,127606.0,0,0
FREEDOM BANK,ALAMO,TX,07/12/1958,17881,NM,FDIC,H,2,DALLAS,301601.0,0,0
INTERNATIONAL BANK OF COMMERCE,BROWNSVILLE,TX,10/09/1984,25679,NM,FDIC,H,7,DALLAS,4387332.0,0,0
"AMERICAN BANK, NATIONAL ASSOCIATION",DALLAS,TX,05/02/1974,21567,N,OCC,A,3,DALLAS,700010.0,0,0
ONE WORLD BANK,DALLAS,TX,04/04/2005,57901,NM,FDIC,A,3,DALLAS,308647.0,0,0
SPECTRA BANK,FORT WORTH,TX,06/30/1986,26708,NM,FDIC,A,3,DALLAS,115921.0,0,0
AMERICAN FIRST NATIONAL BANK,HOUSTON,TX,05/18/1998,34656,N,OCC,A,3,DALLAS,2884603.0,0,0
GLOBAL ONE BANK,HOUSTON,TX,01/01/1907,11570,NM,FDIC,A,3,DALLAS,314700.0,0,0
"GOLDEN BANK, NATIONAL ASSOCIATION",HOUSTON,TX,05/03/1985,26223,N,OCC,A,3,DALLAS,2219657.0,0,0
